Jaar;LEEFTIJD;GESLACHT;vervoerwijze;vervoerwijzefilter;wegvak/kruispunt;wegbeheerder;wegnummer;HECTOMETER;STRAAT1;STRAAT2;STRAAT3;GEMEENTE;GEMEENTE 2013;PROVINCIE;type locatie;X_COORD;Y_COORD;latitude;longitude
2009;30;M;Personenauto;1;353213002;;;32,1;Nieuwedijk;Koolmeesstraat;Rogstraat;Uden;Uden;Noord-Brabant;W;176705;406611;5164791367;5700809827
2009;19;M;Personenauto;1;353333008;;;72,3;PROVINCIALEWEG;PROVINCIALEWEG;Bosbergerweg;Barneveld;Barneveld;Gelderland;W;176817;466247;5218392526;5706212726
2009;53;M;Motor;4;353405016;;;;De Zuid;Dronterweg;Dronterweg;Dronten;Dronten;Flevoland;K;176838;502576;5251043093;5708879357
2009;80;V;Fiets;2;353494020;;;;Tsjukemarwei;Tsjukemarwei;Tsjukemarwei;Skarsterlan;Skarsterlan;Friesland;K;176515;547316;5291251078;5707039375
2009;24;M;Personenauto;1;354161001;;;;Dijkstraat;Busselseweg;Hoekstraat;Asten;Asten;Noord-Brabant;W;177272;380759;514155207;5707359833
2009;49;M;Personenauto;1;354534007;;;14,9;Snitserdyk;Snitserdyk;De Dille;Boarnsterhim;Boarnsterhim;Friesland;W;177955;567681;5309545161;5729884341
2009;60;V;Voetganger;3;355036115;;;;President Rooseveltlaan;President Rooseveltlaan;Prof Cobbenhagenstraat;Maastricht;Maastricht;Limburg;K;177787;318111;508523793;5710772002
2009;39;M;Bestelauto;5;355325002;;;;Velkemeensedijk;Hazendonkweg;Breakerweg;Barneveld;Barneveld;Gelderland;W;177792;462481;5215003784;5720216081
2009;83;M;Personenauto;1;356033048;;;262,7;RYKSWG;Europaplein;RANDWYCK 55;Maastricht;Maastricht;Limburg;W;178324;316306;5083613319;5718281233
2009;45;M;Motor;4;356158008;;;;Kanaaldijk Noord;Kanaaldijk Noord;Witvrouwenbergweg;Someren;Someren;Noord-Brabant;K;178163;379014;5139979976;5720053145
2009;26;M;Bromfiets;5;357040001;;;;Marienwaard;Limmelderweg;Kruisdonk;Maastricht;Maastricht;Limburg;W;178804;320483;5087365904;5725368755
2009;66;M;Fiets;2;358165003;;;;Oostappensedijk;Oostappensedijk;PROV WG;Asten;Asten;Noord-Brabant;K;179426;382913;5143479286;5738472182
2009;45;V;Personenauto;1;358277003;;;;Weteringsewal;Slopsestraat;Muskushouwsestraat;Overbetuwe;Overbetuwe;Gelderland;W;180046;438688;5193609014;5751403896
2009;29;V;Personenauto;1;359129009;;;202,4;Rijksweg A2;NEDERWEERT 39;MEIBERG;Weert;Weert;Limburg;W;180988;363209;5125761231;5759488139
